author, title,et, in, qui, non, hic, is, sed, ad, ille, quod, ut, de, ego, cum, suus, ab, si, ipse, quis, quia, sibi, meus, enim, nec, quam, nos, per, ex, autem, noster, que, vel, ergo, quidem, tamen, iste, pro, iam, alius, ne, etiam, aut, sic, sicut, quo, nisi, vero, super, ita, ubi, nam, quoniam, inter, denique, magis, nunc, unde, quidam, sine, propter, quasi, tam, atque, quomodo, quoque, tamquam, ac, tantus, idem, neque, utique, adhuc, dum, quantus, secundum, uterque, aliquis, tunc, solum, sane, quando, igitur, ante, talis, post, bene, nullus, sub, omnino, usque, semper, quippe, sive, alter, minus, etsi, siquidem, inde, itaque, ideo, iuxta, quisquis, videlicet, apud, profecto, scilicet, nemo, prius, parve, plane, porro, contra, ibi, immo, nonne, at, nimirum, nihilominus, propterea, primum, verum, nempe, una, multum, longe, seipse, quicumque, item, an, donec, vere, certe, quisque, absque, interim, unquam, numquam, quantum, pote, prorsus, semetipse, pariter, amen, proinde, satis, huiusmodi, numquis, hinc, aliquando, prae, 
div, di_1, 49, 37, 24, 41, 23, 24, 26, 23, 9, 18, 17, 4, 3, 8, 7, 11, 10, 11, 4, 6, 15, 5, 12, 15, 7, 23, 2, 3, 2, 7, 0, 2, 4, 4, 2, 0, 3, 2, 1, 4, 6, 2, 4, 7, 3, 5, 3, 3, 2, 2, 0, 4, 3, 3, 9, 4, 1, 2, 2, 0, 6, 3, 1, 2, 5, 0, 1, 0, 3, 2, 2, 5, 3, 1, 4, 0, 0, 1, 0, 2, 1, 0, 1, 0, 1, 0, 5, 0, 2, 6, 1, 1, 0, 1, 1, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0, 1, 2, 1, 1, 2, 1, 0, 0, 1, 0, 1, 2, 1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 
div, di_2, 66, 53, 20, 41, 20, 9, 21, 14, 10, 22, 16, 9, 4, 2, 8, 1, 4, 19, 10, 3, 8, 6, 8, 11, 12, 7, 6, 2, 5, 8, 0, 6, 2, 3, 2, 2, 1, 3, 0, 1, 9, 6, 10, 6, 1, 4, 3, 3, 0, 4, 3, 6, 0, 2, 1, 1, 0, 1, 6, 5, 0, 3, 0, 3, 6, 0, 1, 0, 1, 0, 2, 0, 1, 0, 0, 3, 3, 0, 2, 1, 3, 0, 0, 1, 0, 1, 3, 0, 1, 0, 2, 1, 0, 0, 2, 0, 4, 2, 1, 0, 1, 2, 0, 0, 0, 0, 3, 1, 2, 3, 2, 0, 0, 0, 0, 1, 2, 4, 1, 0, 3, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 1, 0, 1, 2, 0, 0, 0, 2, 0, 0, 1, 1, 3, 0, 
div, di_3, 60, 54, 26, 35, 24, 18, 21, 25, 9, 13, 15, 12, 24, 10, 15, 10, 3, 12, 5, 8, 1, 21, 10, 9, 8, 3, 2, 5, 4, 7, 2, 1, 3, 4, 4, 2, 0, 6, 0, 3, 8, 2, 2, 9, 9, 4, 1, 3, 2, 0, 1, 5, 2, 0, 1, 2, 1, 0, 2, 0, 2, 0, 0, 0, 3, 3, 2, 5, 1, 5, 5, 4, 2, 1, 0, 1, 0, 1, 1, 1, 5, 0, 1, 1, 0, 0, 1, 2, 0, 7, 0, 1, 0, 0, 1, 1, 2, 2, 2, 0, 2, 0, 4, 2, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 3, 2, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 
div, di_4, 53, 54, 31, 36, 20, 9, 20, 15, 10, 20, 12, 6, 31, 24, 7, 5, 12, 6, 13, 9, 3, 19, 7, 8, 3, 2, 3, 2, 6, 5, 2, 2, 2, 6, 2, 1, 9, 4, 3, 2, 2, 8, 5, 4, 5, 1, 2, 3, 3, 1, 2, 0, 0, 1, 5, 3, 1, 0, 0, 1, 3, 3, 1, 0, 0, 0, 1, 2, 2, 3, 3, 2, 4, 2, 1, 4, 0, 0, 0, 0, 4, 0, 3, 1, 5, 0, 0, 1, 0, 1, 0, 4, 5, 1, 1, 0, 2, 0, 3, 0, 2, 0, 4, 0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 
div, di_5, 91, 34, 39, 33, 20, 32, 20, 18, 16, 12, 13, 5, 11, 12, 10, 7, 9, 8, 7, 10, 4, 6, 12, 5, 11, 11, 3, 4, 5, 2, 3, 3, 3, 2, 2, 6, 3, 5, 3, 5, 0, 3, 8, 0, 1, 0, 5, 2, 2, 4, 1, 8, 0, 3, 1, 1, 0, 2, 1, 3, 0, 2, 0, 2, 1, 2, 1, 0, 2, 0, 1, 0, 1, 0, 4, 1, 0, 2, 0, 0, 1, 2, 1, 0, 0, 0, 1, 1, 1, 1, 5, 0, 2, 0, 0, 3, 3, 1, 0, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 4, 2, 1, 1, 1, 0, 3, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 1, 0, 0, 
div, di_6, 73, 62, 21, 27, 20, 33, 20, 23, 10, 9, 15, 7, 13, 12, 8, 7, 5, 7, 28, 10, 0, 13, 11, 7, 9, 9, 0, 4, 4, 11, 2, 0, 5, 3, 3, 4, 0, 6, 3, 5, 2, 2, 3, 2, 0, 5, 6, 5, 1, 7, 0, 3, 0, 1, 1, 6, 0, 2, 0, 1, 0, 1, 2, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 2, 0, 2, 0, 0, 0, 0, 2, 1, 1, 1, 2, 0, 0, 0, 0, 1, 2, 0, 4, 0, 1, 0, 1, 0, 0, 2, 0, 2, 2, 0, 1, 0, 0, 1, 2, 1, 1, 3, 1, 0, 2, 0, 1, 0, 1, 1, 0, 3, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 2, 0, 2, 1, 0, 
div, di_7, 46, 37, 40, 33, 14, 29, 18, 6, 8, 16, 23, 11, 12, 15, 5, 15, 9, 12, 17, 4, 10, 12, 16, 6, 4, 13, 1, 7, 7, 14, 3, 3, 4, 4, 6, 3, 5, 4, 2, 1, 7, 11, 3, 7, 3, 3, 7, 3, 0, 1, 1, 3, 1, 1, 0, 3, 4, 2, 1, 0, 6, 1, 3, 1, 5, 0, 2, 1, 0, 2, 1, 1, 0, 1, 2, 1, 1, 1, 0, 1, 2, 0, 2, 2, 0, 0, 2, 0, 8, 1, 0, 1, 0, 2, 3, 1, 0, 0, 2, 1, 0, 0, 3, 1, 1, 1, 3, 0, 0, 2, 0, 0, 0, 1, 0, 0, 4, 1, 2, 0, 0, 0, 0, 0, 0, 4, 1, 1, 0, 1, 1, 2, 1, 0, 1, 0, 3, 2, 0, 2, 2, 0, 0, 2, 0, 0, 0, 1, 2, 0, 
div, di_8, 73, 49, 41, 17, 23, 27, 18, 9, 8, 23, 10, 3, 9, 15, 11, 16, 5, 8, 5, 0, 9, 4, 8, 6, 4, 5, 3, 5, 6, 6, 4, 2, 1, 8, 6, 3, 2, 12, 4, 7, 0, 3, 5, 1, 7, 3, 4, 2, 3, 0, 0, 6, 1, 2, 5, 4, 5, 9, 4, 1, 6, 1, 1, 0, 2, 10, 2, 0, 2, 1, 1, 3, 2, 2, 1, 1, 0, 2, 1, 3, 0, 0, 1, 0, 0, 2, 2, 17, 1, 0, 1, 0, 2, 2, 0, 0, 2, 1, 1, 0, 1, 1, 0, 0, 0, 5, 0, 3, 1, 1, 2, 0, 0, 2, 0, 2, 3, 0, 2, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0, 
div, di_9, 67, 46, 40, 16, 11, 30, 16, 19, 8, 7, 20, 10, 3, 9, 12, 17, 9, 18, 6, 1, 4, 6, 11, 11, 8, 5, 4, 7, 2, 5, 7, 1, 3, 9, 7, 4, 0, 9, 5, 1, 0, 1, 2, 2, 4, 1, 6, 6, 2, 0, 0, 13, 1, 2, 3, 0, 4, 2, 4, 0, 1, 1, 2, 0, 4, 3, 1, 1, 5, 3, 2, 1, 0, 0, 2, 3, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 3, 3, 2, 0, 1, 0, 1, 3, 1, 0, 2, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 5, 0, 1, 0, 1, 0, 0, 0, 3, 3, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, 
div, di_10, 66, 37, 24, 29, 13, 27, 18, 10, 14, 14, 8, 6, 0, 6, 5, 16, 9, 15, 7, 8, 5, 1, 11, 8, 5, 19, 1, 2, 5, 4, 1, 0, 3, 4, 3, 2, 1, 7, 3, 4, 8, 9, 3, 1, 6, 2, 7, 3, 3, 2, 0, 5, 3, 5, 7, 2, 5, 2, 1, 0, 0, 0, 0, 1, 7, 2, 1, 1, 0, 7, 6, 2, 0, 1, 2, 1, 0, 2, 1, 1, 3, 0, 0, 0, 3, 0, 1, 2, 3, 0, 0, 0, 0, 2, 0, 1, 3, 0, 1, 0, 1, 0, 2, 0, 2, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 4, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1, 2, 1, 0, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 2, 1, 
